x,BER Mean Restricted,std
251,0.208398438,0.036866883
252,0.213769531,0.0424315
253,0.217138672,0.035315969
254,0.212207031,0.039619563
255,0.213476563,0.039914894
256,0.209228516,0.037858174
257,0.208251953,0.039589493
258,0.202490234,0.040811697
259,0.212353516,0.039890187
260,0.209228516,0.039916955
261,0.209570313,0.037362163
262,0.205419922,0.044314879
263,0.208496094,0.042636209
264,0.201953125,0.034657101
265,0.20859375,0.037137505
266,0.205908203,0.042956569
267,0.206445313,0.034270805
268,0.202880859,0.03896671
269,0.202441406,0.03858732
270,0.201513672,0.036945858
271,0.199169922,0.042049181
272,0.201318359,0.041966659
273,0.209423828,0.037963954
274,0.203515625,0.041705508
275,0.20234375,0.03668497
276,0.206787109,0.040977969
277,0.199511719,0.039486952
278,0.206201172,0.038558176
279,0.196533203,0.037854396
280,0.202880859,0.041259766
281,0.197070313,0.040399601
282,0.203173828,0.036542526
283,0.197998047,0.038408993
284,0.199023438,0.036165262
285,0.197705078,0.037816082
286,0.198046875,0.035248496
287,0.194677734,0.038534054
288,0.198193359,0.037231533
289,0.197167969,0.038167731
290,0.204199219,0.038329798
291,0.196386719,0.034664392
292,0.195654297,0.03681333
293,0.19765625,0.032988304
294,0.191210938,0.031562917
295,0.193017578,0.033348608
296,0.195361328,0.032747222
297,0.193945313,0.035124905
298,0.193457031,0.033650196
299,0.195166016,0.034982924
300,0.192529297,0.033162206
301,0.193457031,0.030333861
302,0.195507813,0.032397893
303,0.195800781,0.039888125
304,0.192626953,0.035693493
305,0.194287109,0.035465794
306,0.191943359,0.036833013
307,0.191064453,0.036477616
308,0.190527344,0.029739335
309,0.195361328,0.03145187
310,0.193164063,0.034400237
311,0.191162109,0.034699761
312,0.194824219,0.033440671
313,0.191015625,0.033202981
314,0.186816406,0.030798279
315,0.193408203,0.032182476
316,0.186865234,0.029406574
317,0.190527344,0.032535657
318,0.191943359,0.03213206
319,0.187402344,0.033616879
320,0.194335938,0.033580121
321,0.191748047,0.029936897
322,0.191357422,0.028706993
323,0.185449219,0.033573588
324,0.189208984,0.03460688
325,0.187451172,0.031559329
326,0.194873047,0.031212937
327,0.186230469,0.03093808
328,0.191357422,0.033684647
329,0.193652344,0.03215561
330,0.18671875,0.036599733
331,0.185595703,0.028647965
332,0.185693359,0.031350584
333,0.192675781,0.028783921
334,0.186572266,0.034453043
335,0.185058594,0.031621631
336,0.188232422,0.032530124
337,0.185058594,0.030655353
338,0.184667969,0.02670394
339,0.188183594,0.033208295
340,0.187597656,0.03287899
341,0.188623047,0.030236439
342,0.181054688,0.032507065
343,0.188183594,0.028965575
344,0.184326172,0.034872478
345,0.184960938,0.029715274
346,0.182275391,0.024314298
347,0.185058594,0.028705788
348,0.188964844,0.02967529
349,0.178466797,0.030625201
350,0.1875,0.032986281
351,0.180957031,0.031371985
352,0.187011719,0.034043395
353,0.184375,0.028902951
354,0.184521484,0.031075908
355,0.187646484,0.033707714
356,0.186669922,0.032251004
357,0.178076172,0.030664723
358,0.179589844,0.027408023
359,0.179882813,0.02958936
360,0.183837891,0.031885364
361,0.183447266,0.026673791
362,0.183984375,0.032682616
363,0.183300781,0.027749844
364,0.179785156,0.030010673
365,0.182568359,0.030037394
366,0.182763672,0.030635164
367,0.178369141,0.026525899
368,0.178710938,0.028151436
369,0.184228516,0.030493975
370,0.177587891,0.026276655
371,0.183251953,0.028993424
372,0.179492188,0.029543396
373,0.177197266,0.030364224
374,0.180273438,0.02936824
375,0.177587891,0.02552553
376,0.180615234,0.023129744
377,0.178027344,0.029862061
378,0.174658203,0.030271114
379,0.178613281,0.025941294
380,0.178808594,0.022059075
381,0.184130859,0.026838995
382,0.174511719,0.025903953
383,0.1796875,0.024118326
384,0.175,0.023338822
385,0.180029297,0.022799179
386,0.181201172,0.027126166
387,0.180712891,0.023589039
388,0.175585938,0.025052397
389,0.178613281,0.025129934
390,0.176806641,0.022675867
391,0.177880859,0.022165011
392,0.177880859,0.02607719
393,0.176611328,0.024758363
394,0.175341797,0.02493148
395,0.176855469,0.020506417
396,0.176269531,0.023159154
397,0.175,0.0246968
398,0.177294922,0.022501714
399,0.174169922,0.019977865
400,0.175,0.018736517
401,0.175927734,0.021462224
402,0.174609375,0.021835728
403,0.17265625,0.014272854
404,0.176074219,0.020019769
405,0.172265625,0.019650272
406,0.171923828,0.018830761
407,0.175244141,0.020942029
408,0.175878906,0.022979119
409,0.17265625,0.022206009
410,0.172900391,0.02015064
411,0.17109375,0.017908942
412,0.170605469,0.018300062
413,0.170898438,0.022666981
414,0.1703125,0.015156867
415,0.164697266,0.016206304
416,0.171826172,0.023633468
417,0.167773438,0.015565683
418,0.171679688,0.015778663
419,0.167675781,0.015065989
420,0.170458984,0.017244626
421,0.170703125,0.018423415
422,0.170654297,0.017300942
423,0.172900391,0.01523946
424,0.171240234,0.014092731
425,0.173779297,0.013691828
426,0.171826172,0.015870943
427,0.168798828,0.011136774
428,0.173291016,0.017566524
429,0.166308594,0.013660012
430,0.166650391,0.010646435
431,0.170019531,0.009404454
432,0.167041016,0.014279952
433,0.1703125,0.013737635
434,0.168212891,0.016374903
435,0.170410156,0.013999288
436,0.170507813,0.015776548
437,0.16484375,0.011924864
438,0.166943359,0.011572266
439,0.167724609,0.009400524
440,0.164990234,0.010743186
441,0.171533203,0.00884598
442,0.167089844,0.009968116
443,0.161767578,0.009142863
444,0.166992188,0.013713664
445,0.167382813,0.014310556
446,0.170214844,0.01350378
447,0.162304688,0.008389917
448,0.163916016,0.009420286
