x,BER Mean,std
85,0.241455078,0.012544648
86,0.238623047,0.00822301
87,0.233349609,0.01343164
88,0.226025391,0.012514583
89,0.231201172,0.014096452
90,0.221679688,0.013913874
91,0.224560547,0.010999775
92,0.213525391,0.012744141
93,0.210107422,0.016349841
94,0.2109375,0.016730314
95,0.209423828,0.013120963
96,0.202734375,0.015260332
97,0.202246094,0.011595626
98,0.194580078,0.015567292
99,0.191748047,0.01485218
100,0.187695313,0.019369693
101,0.185693359,0.01901296
102,0.181884766,0.016483741
103,0.182421875,0.016357349
104,0.181152344,0.021018792
105,0.173388672,0.014956797
106,0.172265625,0.026873928
107,0.170947266,0.022743059
108,0.172265625,0.019207274
109,0.168554688,0.024931815
110,0.164648438,0.025297304
111,0.168701172,0.022794159
112,0.164306641,0.026126697
113,0.161083984,0.026926796
114,0.162109375,0.021377575
115,0.161425781,0.02082644
116,0.156738281,0.022725807
117,0.149316406,0.02758923
118,0.156396484,0.0243192
119,0.157128906,0.029077794
120,0.149462891,0.026094008
121,0.151416016,0.02180322
122,0.145751953,0.020922438
123,0.148779297,0.025904735
124,0.144775391,0.028792244
125,0.14140625,0.028107532
126,0.139648438,0.020867383
127,0.141015625,0.029804201
128,0.140380859,0.024693952
129,0.136474609,0.023462155
130,0.141650391,0.0295113
131,0.136279297,0.029381754
132,0.139404297,0.029002632
133,0.132519531,0.029225336
134,0.131445313,0.024618093
135,0.130761719,0.031815411
136,0.127294922,0.029631914
137,0.131054688,0.031993565
138,0.134326172,0.03115177
139,0.125244141,0.029812559
140,0.131005859,0.030308109
141,0.131787109,0.036321988
142,0.126123047,0.027915044
143,0.126855469,0.029308103
144,0.129199219,0.02864526
145,0.129248047,0.028373342
146,0.127978516,0.024485686
147,0.126367188,0.030135143
148,0.127001953,0.030142777
149,0.119091797,0.033473772
150,0.125048828,0.034437816
151,0.125927734,0.036142346
152,0.125732422,0.029540209
153,0.122070313,0.034994474
154,0.126855469,0.031626003
155,0.121728516,0.030786549
156,0.127441406,0.033084433
157,0.123925781,0.030963962
158,0.118994141,0.033372193
159,0.123242188,0.028883972
160,0.123388672,0.031756343
161,0.117089844,0.034471965
162,0.116503906,0.029846888
163,0.118212891,0.030068334
164,0.117919922,0.028171966
165,0.119189453,0.033275893
166,0.114453125,0.032688743
167,0.116259766,0.037020897
168,0.114599609,0.033548191
169,0.109619141,0.038992399
170,0.117675781,0.032066363
171,0.117333984,0.037980027
172,0.116699219,0.033203125
173,0.113525391,0.030469102
174,0.113818359,0.034914977
175,0.119335938,0.034671545
176,0.117919922,0.033885628
177,0.112402344,0.033989286
178,0.111767578,0.036716964
179,0.111621094,0.035955673
180,0.111328125,0.0369626
181,0.113720703,0.032182476
182,0.112353516,0.037223848
183,0.117333984,0.037277995
184,0.114550781,0.036264672
185,0.114160156,0.031702805
186,0.113574219,0.033355864
187,0.110791016,0.037418053
188,0.109521484,0.032861038
189,0.111279297,0.038500876
190,0.107177734,0.036323826
191,0.109765625,0.037026918
192,0.109960938,0.038030057
193,0.1125,0.037354122
194,0.110107422,0.036980818
195,0.109716797,0.041893308
196,0.108740234,0.040651313
197,0.108251953,0.041786749
198,0.105517578,0.037776342
199,0.102783203,0.037626973
200,0.107910156,0.032932751
201,0.107617188,0.037085081
202,0.105957031,0.038908387
203,0.107275391,0.036943277
204,0.107177734,0.039302394
205,0.105126953,0.03949471
206,0.111621094,0.034769739
207,0.106933594,0.034812775
208,0.108105469,0.037334969
209,0.106494141,0.039693662
210,0.101367188,0.040282582
211,0.103369141,0.040755576
212,0.103515625,0.042298235
213,0.100976563,0.037811259
214,0.104638672,0.039241563
215,0.102441406,0.038493042
216,0.104980469,0.038280129
217,0.104199219,0.03975593
