x,BER Mean unrestricted,std,
386,3.96E-02,4.85E-02,
387,3.67E-02,4.69E-02,
388,3.60E-02,4.26E-02,
389,3.30E-02,4.04E-02,
390,3.39E-02,3.83E-02,
391,3.14E-02,3.94E-02,
392,3.26E-02,3.92E-02,
393,3.19E-02,3.68E-02,
394,3.10E-02,3.64E-02,
395,3.13E-02,3.79E-02,
396,2.95E-02,3.15E-02,
397,2.52E-02,2.68E-02,
398,2.89E-02,3.15E-02,
399,2.52E-02,2.67E-02,
400,2.60E-02,2.68E-02,
401,2.42E-02,2.35E-02,
402,2.67E-02,2.83E-02,
403,2.22E-02,1.92E-02,
404,2.27E-02,1.95E-02,
405,2.22E-02,1.91E-02,
406,2.24E-02,1.57E-02,
407,2.24E-02,1.89E-02,
408,1.99E-02,1.65E-02,
409,2.01E-02,1.54E-02,
410,2.02E-02,1.32E-02,
411,2.00E-02,1.75E-02,
412,2.02E-02,1.46E-02,
413,1.85E-02,1.34E-02,
414,1.85E-02,1.47E-02,
415,1.60E-02,8.32E-03,
416,1.64E-02,9.73E-03,
417,1.48E-02,9.57E-03,
418,1.53E-02,9.81E-03,
419,1.49E-02,7.21E-03,
420,1.63E-02,8.99E-03,
421,1.76E-02,1.15E-02,
422,1.69E-02,7.11E-03,
423,1.59E-02,7.30E-03,
424,1.64E-02,8.23E-03,
425,1.49E-02,6.73E-03,
426,1.85E-02,1.37E-02,
427,1.65E-02,1.11E-02,
428,1.58E-02,7.48E-03,
429,1.47E-02,6.30E-03,
430,1.47E-02,6.27E-03,
431,1.59E-02,9.66E-03,
432,1.48E-02,5.03E-03,
433,1.22E-02,6.45E-03,
434,1.41E-02,9.14E-03,
435,1.48E-02,5.96E-03,
436,1.35E-02,6.55E-03,
437,1.32E-02,5.22E-03,
438,1.35E-02,4.04E-03,
439,1.15E-02,4.06E-03,
440,1.28E-02,4.75E-03,
441,1.29E-02,4.54E-03,
442,1.38E-02,3.65E-03,
443,1.02E-02,4.51E-03,
444,1.22E-02,5.47E-03,
445,1.24E-02,3.41E-03,
446,1.09E-02,2.76E-03,
447,1.28E-02,4.05E-03,
448,1.12E-02,2.24E-03,
449,1.35E-02,4.69E-03,
450,1.13E-02,4.20E-03,
451,1.04E-02,3.73E-03,
452,1.20E-02,3.55E-03,
453,1.23E-02,5.08E-03,
454,1.14E-02,3.62E-03,
455,1.20E-02,4.32E-03,
456,1.25E-02,5.17E-03,
457,1.07E-02,2.98E-03,
458,1.27E-02,3.69E-03,
459,1.11E-02,4.01E-03,
460,9.23E-03,4.02E-03,
461,1.08E-02,1.41E-03,
462,1.25E-02,5.22E-03,
463,1.14E-02,3.07E-03,
464,1.17E-02,3.83E-03,
465,1.07E-02,4.01E-03,
466,8.98E-03,3.31E-03,
467,1.29E-02,3.79E-03,
468,9.62E-03,3.44E-03,
469,9.23E-03,3.86E-03,
470,1.08E-02,3.10E-03,
471,9.47E-03,2.17E-03,
472,8.74E-03,3.62E-03,
473,9.67E-03,2.50E-03,
474,1.16E-02,4.02E-03,
475,8.94E-03,3.03E-03,
476,8.84E-03,2.44E-03,
477,1.04E-02,4.52E-03,
478,8.30E-03,3.38E-03,
479,9.62E-03,3.62E-03,
480,8.74E-03,3.46E-03,
481,1.07E-02,1.84E-03,
482,9.72E-03,2.38E-03,
483,9.03E-03,3.48E-03,
484,8.20E-03,1.96E-03,
485,1.01E-02,3.49E-03,
486,9.52E-03,3.55E-03,
487,9.28E-03,2.86E-03,
488,9.38E-03,3.83E-03,
489,8.54E-03,2.36E-03,
490,8.30E-03,4.09E-03,
491,1.01E-02,2.05E-03,
492,8.74E-03,3.95E-03,
493,8.50E-03,3.21E-03,
494,9.42E-03,1.72E-03,
495,8.45E-03,3.88E-03,
496,8.79E-03,3.08E-03,
497,9.91E-03,3.25E-03,
498,9.72E-03,1.90E-03,
499,9.33E-03,2.24E-03,
500,8.79E-03,1.24E-03,
501,8.94E-03,3.91E-03,
502,8.15E-03,3.32E-03,
503,9.47E-03,3.43E-03,
504,1.20E-02,2.74E-03,
505,1.02E-02,4.08E-03,
506,9.52E-03,3.74E-03,
507,9.81E-03,4.11E-03,
508,9.91E-03,2.42E-03,
509,9.08E-03,4.18E-03,
510,8.64E-03,2.20E-03,
511,8.98E-03,3.47E-03,
512,8.35E-03,3.82E-03,
513,9.67E-03,2.56E-03,
514,9.47E-03,3.33E-03,
515,8.89E-03,3.08E-03,
516,9.62E-03,3.74E-03,
517,8.15E-03,2.45E-03,
518,9.13E-03,5.43E-03,
519,9.33E-03,3.30E-03,
520,9.33E-03,2.70E-03,
521,9.42E-03,2.27E-03,
522,9.62E-03,2.71E-03,
523,9.23E-03,2.46E-03,
524,1.08E-02,4.22E-03,
525,8.64E-03,2.36E-03,
526,7.18E-03,2.91E-03,
527,9.28E-03,3.06E-03,
528,9.08E-03,2.81E-03,
529,1.05E-02,2.76E-03,
530,1.10E-02,2.83E-03,
531,9.62E-03,2.50E-03,
532,1.01E-02,1.93E-03,
533,1.02E-02,3.14E-03,
534,9.81E-03,3.50E-03,
535,8.84E-03,3.61E-03,
536,9.03E-03,3.35E-03,
537,9.18E-03,2.32E-03,
538,9.08E-03,4.06E-03,
539,9.47E-03,2.94E-03,
540,1.23E-02,4.50E-03,
541,8.74E-03,2.40E-03,
542,8.54E-03,2.91E-03,
543,8.94E-03,1.35E-03,
544,9.52E-03,3.48E-03,
545,9.33E-03,3.39E-03,
546,6.88E-03,1.81E-03,
547,9.57E-03,2.76E-03,
548,8.89E-03,2.99E-03,
549,1.00E-02,3.07E-03,
550,8.40E-03,3.32E-03,
551,9.33E-03,3.43E-03,
552,1.02E-02,3.07E-03,
553,8.50E-03,1.72E-03,
554,9.33E-03,2.43E-03,
555,9.77E-03,3.51E-03,
556,9.28E-03,2.12E-03,
557,8.64E-03,2.67E-03,
558,8.25E-03,1.57E-03,
559,9.57E-03,1.98E-03,
560,9.33E-03,3.47E-03,
561,1.02E-02,2.96E-03,
562,9.08E-03,2.66E-03,
563,8.98E-03,2.85E-03,
564,9.91E-03,2.55E-03,
565,8.35E-03,2.21E-03,
566,1.00E-02,3.23E-03,
567,1.00E-02,3.25E-03,
568,8.79E-03,2.66E-03,
569,8.45E-03,2.29E-03,
570,8.89E-03,3.80E-03,
571,8.15E-03,2.38E-03,
572,1.01E-02,3.71E-03,
573,7.13E-03,3.11E-03,
574,8.54E-03,2.54E-03,
575,6.98E-03,3.49E-03,
576,9.72E-03,3.55E-03,
577,9.08E-03,3.11E-03,
578,7.57E-03,1.68E-03,
579,8.84E-03,2.46E-03,
580,9.08E-03,3.61E-03,
581,9.96E-03,2.75E-03,
582,6.01E-03,1.87E-03,
583,7.81E-03,3.57E-03,
584,1.00E-02,2.68E-03,
585,9.28E-03,3.15E-03,
586,8.01E-03,2.94E-03,
587,8.54E-03,2.00E-03,
588,8.15E-03,3.11E-03,
589,8.84E-03,2.88E-03,
590,9.13E-03,1.80E-03,
591,8.20E-03,2.40E-03,
592,7.62E-03,2.93E-03,
593,8.59E-03,3.04E-03,
594,8.25E-03,2.43E-03,
595,7.71E-03,3.04E-03,
596,8.64E-03,2.91E-03,
597,7.18E-03,2.36E-03,
598,8.01E-03,2.93E-03,
599,8.01E-03,2.55E-03,
600,7.37E-03,3.60E-03,
601,7.42E-03,2.58E-03,
602,7.32E-03,3.10E-03,
603,7.96E-03,2.63E-03,
604,6.10E-03,1.79E-03,
605,6.93E-03,3.18E-03,
606,7.96E-03,3.81E-03,
607,8.59E-03,2.24E-03,
608,7.47E-03,2.20E-03,
609,7.81E-03,2.69E-03,
610,7.23E-03,2.95E-03,
611,8.35E-03,1.73E-03,
612,7.47E-03,2.76E-03,
613,7.37E-03,2.27E-03,
614,6.49E-03,1.87E-03,
615,5.76E-03,2.65E-03,
616,7.47E-03,2.72E-03,
617,8.11E-03,2.10E-03,
618,7.52E-03,1.74E-03,
619,7.67E-03,2.64E-03,
620,8.98E-03,1.61E-03,
621,8.06E-03,2.10E-03,
622,8.59E-03,2.72E-03,
623,9.38E-03,2.59E-03,
624,8.20E-03,3.39E-03,
625,6.74E-03,3.25E-03,
626,6.69E-03,3.16E-03,
627,7.52E-03,3.00E-03,
628,8.74E-03,3.12E-03,
629,8.11E-03,3.55E-03,
630,7.37E-03,2.74E-03,
631,6.98E-03,2.30E-03,
632,7.23E-03,2.98E-03,
633,6.79E-03,2.05E-03,
634,7.03E-03,2.61E-03,
635,6.84E-03,2.58E-03,
636,7.67E-03,2.40E-03,
637,6.54E-03,2.59E-03,
638,7.32E-03,2.11E-03,
639,8.15E-03,3.48E-03,
640,8.15E-03,2.67E-03,
641,7.42E-03,2.91E-03,
642,6.93E-03,2.57E-03,
643,6.98E-03,1.42E-03,
644,7.23E-03,1.70E-03,
645,5.71E-03,2.47E-03,
646,6.15E-03,2.16E-03,
647,7.57E-03,2.59E-03,
648,6.40E-03,1.63E-03,
649,7.13E-03,2.77E-03,
650,7.62E-03,2.40E-03,
651,6.84E-03,1.73E-03,
652,7.18E-03,1.92E-03,
653,6.79E-03,2.27E-03,
654,6.88E-03,1.93E-03,
655,6.30E-03,1.90E-03,
656,7.62E-03,3.56E-03,
657,6.84E-03,2.27E-03,
658,6.45E-03,1.82E-03,
659,6.54E-03,1.91E-03,
660,7.81E-03,2.01E-03,
661,7.13E-03,1.94E-03,
662,7.52E-03,1.58E-03,
663,7.08E-03,2.58E-03,
664,7.67E-03,2.11E-03,
665,6.69E-03,2.34E-03,
666,8.98E-03,3.64E-03,
667,8.35E-03,2.47E-03,
668,8.11E-03,3.17E-03,
669,7.96E-03,3.08E-03,
670,7.23E-03,2.47E-03,
671,7.71E-03,2.36E-03,
672,7.71E-03,2.70E-03,
673,5.22E-03,1.16E-03,
674,8.06E-03,2.12E-03,
675,6.45E-03,2.80E-03,
676,6.98E-03,2.81E-03,
677,5.86E-03,1.92E-03,
678,7.13E-03,2.73E-03,
679,7.62E-03,2.96E-03,
680,7.23E-03,1.82E-03,
681,7.03E-03,2.62E-03,
682,6.84E-03,3.44E-03,
683,6.15E-03,2.53E-03,
684,7.86E-03,1.85E-03,
685,5.71E-03,1.71E-03,
686,6.40E-03,2.53E-03,
687,6.49E-03,1.35E-03,
688,7.08E-03,2.60E-03,
689,6.25E-03,1.93E-03,
690,7.08E-03,2.49E-03,
691,6.49E-03,1.89E-03,
692,7.18E-03,2.60E-03,
693,7.76E-03,2.97E-03,
694,5.32E-03,1.52E-03,
695,8.50E-03,2.79E-03,
696,7.47E-03,3.02E-03,
697,7.52E-03,1.59E-03,
698,7.76E-03,1.98E-03,
699,7.52E-03,2.46E-03,
700,6.54E-03,1.69E-03,
701,7.23E-03,2.59E-03,
702,9.08E-03,3.47E-03,
703,5.91E-03,2.10E-03,
704,6.84E-03,3.00E-03,
705,7.62E-03,2.72E-03,
706,5.18E-03,1.12E-03,
707,8.06E-03,2.20E-03,
708,8.74E-03,3.09E-03,
709,6.98E-03,2.05E-03,
710,6.93E-03,2.52E-03,
711,6.98E-03,2.38E-03,
712,7.42E-03,2.59E-03,
713,7.37E-03,2.03E-03,
714,7.76E-03,2.25E-03,
715,8.06E-03,3.17E-03,
716,7.42E-03,3.70E-03,
717,7.76E-03,2.59E-03,
718,6.79E-03,3.26E-03,
719,6.30E-03,2.99E-03,
720,8.30E-03,2.31E-03,
721,6.84E-03,3.84E-03,
722,7.86E-03,2.11E-03,
723,6.88E-03,2.18E-03,
724,7.76E-03,1.93E-03,
725,7.57E-03,2.07E-03,
726,6.54E-03,2.81E-03,
727,6.64E-03,2.22E-03,
728,7.52E-03,2.26E-03,
729,5.62E-03,2.38E-03,
730,6.25E-03,2.24E-03,
731,5.86E-03,1.92E-03,
732,8.01E-03,2.53E-03,
733,7.81E-03,2.00E-03,
734,6.45E-03,2.18E-03,
735,6.10E-03,1.67E-03,
736,6.88E-03,1.97E-03,
737,6.59E-03,3.97E-03,
738,6.79E-03,3.15E-03,
739,7.57E-03,1.68E-03,
740,6.45E-03,2.09E-03,
741,6.01E-03,1.99E-03,
742,6.40E-03,2.08E-03,
743,6.15E-03,1.33E-03,
744,6.40E-03,1.77E-03,
745,5.81E-03,1.78E-03,
746,5.52E-03,1.99E-03,
747,6.25E-03,3.16E-03,
748,5.71E-03,2.35E-03,
749,5.96E-03,2.14E-03,
750,5.66E-03,1.86E-03,
751,6.30E-03,2.87E-03,
752,6.59E-03,2.93E-03,
753,6.20E-03,1.80E-03,
754,5.66E-03,1.56E-03,
755,5.27E-03,1.88E-03,
756,5.57E-03,1.74E-03,
757,4.59E-03,1.65E-03,
758,5.52E-03,1.73E-03,
759,6.88E-03,2.09E-03,
760,6.64E-03,2.37E-03,
761,5.81E-03,1.73E-03,
762,5.71E-03,1.63E-03,
763,5.57E-03,1.79E-03,
764,6.45E-03,2.82E-03,
765,7.47E-03,2.32E-03,
766,6.10E-03,2.05E-03,
767,4.98E-03,1.60E-03,
768,5.22E-03,3.04E-03,
769,6.93E-03,2.79E-03,
770,5.86E-03,1.45E-03,
771,5.27E-03,1.90E-03,
772,5.37E-03,1.87E-03,
773,6.01E-03,2.21E-03,
774,5.37E-03,1.27E-03,
775,5.62E-03,1.67E-03,
776,4.69E-03,1.93E-03,
777,5.03E-03,1.93E-03,
778,6.69E-03,3.50E-03,
779,5.42E-03,1.49E-03,
780,4.98E-03,1.54E-03,
781,4.49E-03,1.76E-03,
782,5.62E-03,1.86E-03,
783,4.74E-03,2.26E-03,
784,5.62E-03,2.18E-03,
785,4.79E-03,1.76E-03,
786,5.57E-03,2.33E-03,
787,4.59E-03,1.59E-03,
788,5.76E-03,2.10E-03,
789,5.22E-03,1.03E-03,
790,6.45E-03,2.47E-03,
791,6.35E-03,2.33E-03,
792,5.22E-03,3.65E-03,
793,4.69E-03,2.24E-03,
794,7.62E-03,2.64E-03,
795,5.81E-03,1.88E-03,
796,4.30E-03,1.82E-03,
797,5.71E-03,1.56E-03,
798,6.20E-03,2.21E-03,
