x,Average Energy Unrestricted,std
181,4.048413,1.714695626
182,4.07999,1.778864869
183,4.124672,1.796981039
184,4.174481,1.790426212
185,4.207508,1.812712904
186,4.24873,1.834540221
187,4.260004,1.844056586
188,4.258287,1.835069663
189,4.356032,1.89074147
190,4.337007,1.889748514
191,4.419989,1.922711375
192,4.435383,1.944239958
193,4.470088,1.99630861
194,4.509172,1.979939264
195,4.550687,2.029041903
196,4.528175,2.000531033
197,4.595775,2.012132877
198,4.58881,2.019049975
199,4.640194,2.084998466
200,4.70064,2.079454731
201,4.684348,2.083347172
202,4.71866,2.100511284
203,4.751475,2.137987182
204,4.776792,2.136848745
205,4.773781,2.138476901
206,4.785471,2.166046223
207,4.816231,2.191095978
208,4.830031,2.192152451
209,4.825478,2.166108485
210,4.826022,2.191652314
211,4.816824,2.256415236
212,4.839938,2.223022348
213,4.849434,2.234577965
214,4.859756,2.247442843
215,4.819898,2.243426014
216,4.900537,2.274735813
217,4.870615,2.23266117
218,4.859555,2.277975049
219,4.877759,2.277851112
220,4.848721,2.284226657
221,4.856059,2.30623709
222,4.846271,2.312248807
223,4.944538,2.317711027
224,4.910753,2.281705648
225,4.907201,2.330761762
226,4.9621,2.32155097
227,4.971453,2.347407029
228,4.921721,2.299678826
229,4.925939,2.318668237
230,4.885558,2.290294357
231,4.897835,2.240342992
232,4.874578,2.264512117
233,4.8582,2.237702523
234,4.866475,2.235120314
235,4.836177,2.20488999
236,4.866678,2.235201785
237,4.844612,2.221265302
238,4.850449,2.209414766
239,4.855721,2.196691086
240,4.777627,2.15700218
241,4.784062,2.179903682
242,4.782543,2.161173166
243,4.761689,2.137830304
244,4.7385,2.135963919
245,4.743686,2.139921971
246,4.748219,2.165572832
247,4.704321,2.141985204
248,4.717674,2.157095031
249,4.668635,2.113801738
250,4.652622,2.079086204
251,4.629391,2.12252364
252,4.620768,2.093336372
253,4.675257,2.082284645
254,4.60294,2.073885669
255,4.62128,2.078911729
256,4.608826,2.085091849
257,4.61792,2.05759125
258,4.591051,2.04776486
259,4.61764,2.083532695
260,4.605984,2.085830181
261,4.591482,2.09077043
262,4.576072,2.057134286
263,4.588883,2.032207108
264,4.575156,2.049089994
265,4.587255,2.027755669
266,4.550318,1.998851045
267,4.569513,2.030759224
268,4.601754,2.022943169
269,4.589263,1.99948024
270,4.603126,2.027052145
271,4.578877,2.013087435
272,4.563637,1.998941969
273,4.587122,1.976341214
274,4.525774,1.933971854
275,4.543324,1.91551202
276,4.528388,1.895797749
277,4.547962,1.878319741
278,4.513828,1.857659391
279,4.528628,1.838259684
280,4.509831,1.797716209
281,4.509562,1.792057528
282,4.484868,1.734383929
283,4.472277,1.729452648
284,4.486692,1.72651064
285,4.504595,1.692065734
286,4.491379,1.679266479
287,4.487871,1.659224004
288,4.4631,1.64518387
289,4.445574,1.639468519
290,4.471921,1.61458721
291,4.460324,1.61091224
292,4.454523,1.596327066
293,4.434292,1.589279021
294,4.4665,1.568925902
295,4.459488,1.561703371
296,4.451096,1.521263919
297,4.467361,1.520012785
298,4.439775,1.479431739
299,4.446665,1.460184979
300,4.443622,1.417975505
301,4.430448,1.4251839
302,4.401935,1.408834493
303,4.423904,1.354005985
304,4.459991,1.353673802
305,4.435078,1.302123313
306,4.449264,1.269030384
307,4.464579,1.258360043
308,4.428043,1.224208308
309,4.393173,1.200661342
310,4.403821,1.170979678
311,4.409233,1.127761665
312,4.382996,1.113687118
313,4.387713,1.079393508
314,4.374266,1.082178845
315,4.402846,1.026434573
316,4.362595,1.011861193
317,4.361798,0.985445864
318,4.392708,0.978706878
319,4.390286,0.923533266
320,4.413038,0.921312527
321,4.386122,0.905168135
322,4.400192,0.906057573
323,4.390864,0.87490783
324,4.359653,0.882002188
325,4.380703,0.85799522
326,4.405334,0.804208838
327,4.411187,0.804579876
328,4.424667,0.773266017
329,4.378288,0.74943174
330,4.386504,0.768962539
331,4.413724,0.757939052
332,4.420663,0.698590185
333,4.406381,0.704078731
334,4.411431,0.700267579
335,4.392285,0.662905797
336,4.388135,0.683027925
337,4.390339,0.651733801
338,4.378165,0.639325248
339,4.4119,0.616937824
340,4.410697,0.603490296
341,4.403672,0.601271538
342,4.405462,0.629874027
343,4.404557,0.59984358
344,4.420833,0.645247567
345,4.404902,0.615376493
346,4.428259,0.638429956
347,4.416474,0.671329135
348,4.418192,0.64827116
349,4.41395,0.705900911
350,4.434412,0.71570457
351,4.430789,0.678198095
352,4.430614,0.695110528
353,4.450748,0.683849492
354,4.456559,0.718500375
355,4.428338,0.700087916
356,4.463147,0.740350525
357,4.461322,0.764149905
358,4.463654,0.77372093
359,4.472137,0.748973785
360,4.472208,0.80940383
361,4.466704,0.774959548
362,4.486401,0.77514518
363,4.508773,0.734878637
364,4.514617,0.741202888
365,4.505227,0.729260354
366,4.501615,0.706468658
367,4.5217,0.668786789
368,4.522409,0.715439641
369,4.522038,0.70614184
370,4.513045,0.706007343
371,4.507417,0.67686577
372,4.49409,0.644616501
373,4.516944,0.647666496
374,4.494776,0.621313895
375,4.485505,0.592306219
376,4.456123,0.575353261
377,4.45165,0.580359422
378,4.431329,0.522091324
379,4.418465,0.531856799
380,4.431397,0.529976517
381,4.426165,0.484464657
382,4.422158,0.473048233
383,4.418247,0.437551611
